Date,SPY,SPYOP
39231,152.24,151.94
39232,153.48,151.46
39233,153.32,153.66
39234,154.08,153.88
39237,154.1,153.54
39238,153.49,153.74
39239,151.84,152.91
39240,149.1,151.56
39241,151.04,149.5
39244,151.3,150.93
39245,149.65,150.67
39246,151.89,150.5
39247,152.86,152.06
39248,153.07,153.14
39251,152.89,153.38
39252,153.27,152.55
39253,151.14,153.58
39254,151.98,151.08
39255,150.55,151.52
39258,149.83,150.24
39259,148.29,150.21
39260,150.4,148.13
39261,150.38,150.38
39262,150.43,150.9
39265,151.79,150.87
39266,152.34,152.18
39268,152.18,152.4
39269,152.98,152.38
39272,153,153.16
39273,150.92,152.29
39274,151.99,150.75
39275,154.39,152.37
39276,154.85,154.57
39279,154.83,154.99
39280,154.75,154.93
39281,154.47,154.23
39282,155.07,155.2
39283,153.5,154.89
39286,153.97,154.18
39287,151.3,153.12
39288,151.61,152.02
39289,148.02,150.19
39290,145.11,148.21
39293,147.38,145.93
39294,145.72,148.33
39295,146.43,145.18
39296,147.6,146.76
39297,143.8,147.28
39300,146.21,144.21
39301,147.77,145.94
39302,149.83,148.41
39303,145.39,147.43
39304,144.71,144.39
39307,145.23,146.5
39308,143.01,145.7
39309,141.04,142.72
39310,142.1,139.8
39311,144.71,145.5
39314,144.64,145.17
39315,144.93,144.6
39316,146.65,146.01
39317,146.52,147.34
39318,148.33,146.48
39321,146.95,147.85
39322,143.72,146.16
39323,146.54,144.37
39324,146.15,145.45
39325,147.59,147.65
39329,149.08,147.45
39330,147.79,148.2
39331,148.13,147.95
39332,146.07,146.48
39335,145.79,146.52
39336,147.49,146.24
39337,147.87,147.29
39338,148.91,148.55
39339,148.9,147.96
39342,148.1,148.31
39343,152.46,148.83
39344,153.36,153.41
39345,152.28,153.34
39346,151.97,152.71
39349,151.69,152.42
39350,151.39,150.81
39351,152.19,152.25
39352,153.09,152.91
39353,152.58,152.85
39356,154.3,152.6
39357,154.09,154.61
39358,153.78,153.81
39359,154.02,154.11
39360,155.85,155.03
39363,155.02,155.39
39364,156.48,155.6
39365,156.22,156.04
39366,155.47,156.93
39367,156.33,155.46
39370,155.01,156.27
39371,153.78,154.41
39372,154.25,154.98
39373,153.69,153.45
39374,149.67,153.09
39377,150.54,148.86
39378,151.76,151.46
39379,151.48,151.21
39380,151.84,151.65
39381,153.62,153.06
39384,154.13,153.93
39385,153.06,153.45
39386,154.65,153.98
39387,151.03,153.29
39388,151.2,151.53
39391,150.05,149.64
39392,152.07,150.86
39393,147.91,150.44
39394,147.16,147.99
39395,145.14,145.69
39398,143.7,145.21
39399,148.08,145.37
39400,147.67,149.22
39401,145.54,146.57
39402,145.79,146.31
39405,143.76,145.28
39406,144.64,144.02
39407,141.68,143.08
39409,144.13,143.07
39412,140.95,144.43
39413,142.57,141.74
39414,147.13,144.19
39415,147.18,146.62
39416,148.66,149.04
39419,147.68,148.19
39420,146.36,146.66
39421,148.81,147.93
39422,150.94,148.63
39423,150.91,151.42
39426,152.08,151.28
39427,147.91,152.14
39428,149.37,151.06
39429,149.06,148.32
39430,147.17,147.93
39433,145.07,146.61
39434,145.88,146.1
39435,145.88,145.94
39436,146.8,146.84
39437,148.13,147.37
39440,149.23,148.82
